Q1,Q2,T1,T2,Tsp1,Tsp2
100.0,8.6673338653,54.833,43.231,68.0,43.0
100.0,8.8677434895,55.381,43.103,68.0,43.0
100.0,8.8989355221,56.025,43.167,68.0,43.0
100.0,8.6790064581,56.67,43.328,68.0,43.0
100.0,8.7437471999,56.992,43.103,68.0,43.0
100.0,8.725372209,57.637,43.167,68.0,43.0
100.0,8.5037164621,58.217,43.36,68.0,43.0
99.981518442,8.7625086795,58.604,43.006,68.0,43.0
99.378653825,9.1016961362,59.248,42.974,68.0,43.0
98.395994343,9.6640526171,59.796,42.813,68.0,43.0
97.111930427,10.236237494,60.312,42.813,68.0,43.0
95.539842823,10.825485496,60.859,42.813,68.0,43.0
93.622661471,11.487872302,61.504,42.78,68.0,43.0
91.747913644,12.102464022,61.826,42.813,68.0,43.0
89.601186218,12.750073061,62.438,42.813,68.0,43.0
87.256929571,13.427492794,63.019,42.813,68.0,43.0
84.899638748,13.8819197,63.438,43.006,68.0,43.0
82.448456536,14.499613789,63.953,42.909,68.0,43.0
80.014071875,15.254135746,64.372,42.813,68.0,43.0
77.638970375,15.85217713,64.727,42.941,68.0,43.0
75.348130371,16.341546485,65.049,43.038,68.0,43.0
73.121092297,16.655088541,65.371,43.199,68.0,43.0
70.961661194,17.082233285,65.693,43.135,68.0,43.0
68.876596172,17.41360919,65.983,43.231,68.0,43.0
66.79610262,17.897678156,66.338,43.135,68.0,43.0
64.831428166,18.153499759,66.563,43.328,68.0,43.0
63.09287683,18.106778867,66.66,43.586,68.0,43.0
61.332124215,18.242889744,66.982,43.489,68.0,43.0
59.571566907,18.343939052,67.272,43.554,68.0,43.0
58.089807855,18.577735965,67.305,43.457,68.0,43.0
56.565599541,18.959313356,67.595,43.36,68.0,43.0
55.267623626,19.323999561,67.627,43.36,68.0,43.0
53.85528372,19.193699981,67.917,43.779,68.0,43.0
52.649033928,19.015518295,67.949,43.844,68.0,43.0
51.655563161,18.947946149,67.949,43.779,68.0,43.0
50.757462095,18.787260636,68.014,43.876,68.0,43.0
49.746339891,18.719916197,68.271,43.844,68.0,43.0
48.909164132,18.707126355,68.271,43.812,68.0,43.0
48.187454024,18.272881982,68.271,44.166,68.0,43.0
47.595749917,17.96283923,68.271,44.102,68.0,43.0
47.106289256,17.686798681,68.271,44.102,68.0,43.0
46.703254613,17.478392877,68.271,44.069,68.0,43.0
46.357691653,17.094103818,68.271,44.23,68.0,43.0
46.077428507,16.822517393,68.271,44.166,68.0,43.0
45.823541836,16.183911108,68.271,44.488,68.0,43.0
45.587875856,15.684891075,68.304,44.424,68.0,43.0
45.466679254,15.2620897,68.239,44.392,68.0,43.0
45.323993841,14.682795117,68.271,44.553,68.0,43.0
45.275569259,14.106512689,68.207,44.585,68.0,43.0
45.505136688,13.429707059,67.949,44.682,68.0,43.0
45.69436676,12.650130857,67.949,44.811,68.0,43.0
46.200673289,11.894565349,67.627,44.811,68.0,43.0
46.638819533,11.313685272,67.627,44.714,68.0,43.0
47.082958124,10.802653558,67.563,44.682,68.0,43.0
47.423429352,10.249347335,67.595,44.746,68.0,43.0
47.778457373,9.6068052062,67.53,44.843,68.0,43.0
48.319597419,8.9432825368,67.305,44.875,68.0,43.0
48.784485108,8.3632218634,67.305,44.843,68.0,43.0
49.177531298,7.7031336915,67.305,44.939,68.0,43.0
49.509515017,6.9314952385,67.305,45.068,68.0,43.0
49.970440861,6.1972182388,67.144,45.068,68.0,43.0
50.500822393,5.0381208003,66.982,45.487,68.0,43.0
51.003554732,4.4265409791,66.982,45.068,68.0,43.0
51.438334181,3.8538899381,66.982,45.068,68.0,43.0
52.012016987,3.1729938681,66.789,45.165,68.0,43.0
